id,fname,lname,email_address,join_dt,region_code
1,LORI,clark,dawsonmarissagmail.com,2022-09-08,06
2,dawn,GARCIA,markthomas@jensenbiz,,Texas
3,phillip,nelson,chunt@yahoocom,"Jun 27, 2023",tx
4,JONATHAN,DUNCAN,xmyersgmail.com,2023-08-09,Texas
5,tyler,martinez,jenniferbailey@garciacom,2023-09-01,Texas
6,BRANDON,KIM,thomasreynoldsgreene.com,"Nov 18, 2024",TX
7,mark,Oconnell,kelly58@hotmailcom,"Apr 07, 2023",TX
8,angela,page,marymontgomerysanders.com,,tx
9,joshua,branch,gary93hotmail.com,,06
10,JON,bennett,jamie35@williams.com,"Oct 20, 2023",06
11,joseph,BOND,cochranedwardhotmail.com,,tx
12,Thomas,Stafford,heathbobbyyahoo.com,,TX
13,Barbara,mcgrath,qbaker@gmailcom,"May 30, 2020",06
14,jason,WATSON,anne24@miller-ross.com,"Feb 17, 2021",Texas
15,Michelle,johnson,david19@millercom,"Sep 14, 2022",TX
16,Catherine,WHITE,paulagonzalezcurtis.com,2021-10-06,06
17,Amber,BERGER,lejeffrey@gmailcom,,06
18,seth,WRIGHT,michael97hotmail.com,2020-07-18,TX
19,andrea,Dawson,pmalone@finleynet,"Aug 17, 2022",TX
20,MARISSA,Swanson,cookalexander@taylorcom,2023-03-24,Texas
21,RHONDA,BEST,jessica11@preston-millercom,2020-03-04,06
22,Kevin,JONES,onelson@gmail.com,,Texas
23,Joseph,Sanchez,michaelgonzalez@yates.info,,tx
24,alvin,Grant,maychristophergmail.com,2021-08-23,Texas
25,Mikayla,davis,williamcampbell@gomez-jonesbiz,"Aug 02, 2020",06
26,Adam,taylor,simmonsfrank@cartercom,"Jul 29, 2022",06
27,lisa,REEVES,tyroneflowers@gmail.com,2024-11-30,TX
28,brittany,LEE,melinda88brennan.info,"Apr 23, 2024",06
29,MICHELLE,kim,ecrossgmail.com,2022-04-05,TX
30,kristine,PINEDA,matthewmoody@white-lewiscom,2020-12-13,06
31,kimberly,potter,ericwilkinson@mcintyre-garcia.com,,tx
32,Matthew,jones,xcastro@gmail.com,"Dec 01, 2020",Texas
33,michael,Dillon,james22@hotmail.com,"Jan 09, 2024",tx
34,cynthia,PETERSON,karen85@yahoocom,,06
35,JENNIFER,Anderson,carrie07@klein.com,"Dec 06, 2023",TX
36,AMY,Moreno,terry78@hendrix-browncom,2024-11-01,Texas
37,dale,robinson,zschneider@yahoocom,"May 08, 2023",tx
38,richard,Tucker,rileyseangmail.com,,TX
39,Kaitlyn,WILLIAMS,jacksondaniel@winters.com,2021-06-06,tx
40,michael,ELLIS,christopher59gmail.com,2020-08-18,06
41,DEBORAH,riley,velezpeggyhotmail.com,"Dec 28, 2020",tx
42,christina,Ruiz,aguilarvirginia@harrison.com,2020-04-12,06
43,ashley,PETERSON,austin95@fuller.com,2021-04-25,tx
44,lori,wood,xholmes@gmailcom,,TX
45,Jenny,Harris,hallamber@wood-steelecom,2022-03-11,06
46,Cynthia,Merritt,patrickmartin@gmail.com,"Aug 12, 2020",TX
47,Micheal,brown,dayjenniferhotmail.com,2022-06-07,tx
48,Tara,Ward,griffincristian@moreno.com,2024-09-13,Texas
49,CHERYL,BROWN,reginamartin@gmail.com,2025-04-05,Texas
50,monica,Jones,jameslambroberts.info,,Texas
51,stephen,REESE,cgarcia@hotmail.com,2022-10-27,TX
52,daniel,ROBERTS,kellyphillip@gmail.com,2023-09-21,TX
53,Nicholas,morris,kbenitez@mitchell-rodgersnet,2021-01-01,06
54,JASMINE,KIM,andrewmatthews@yahoocom,2022-01-11,Texas
55,William,conrad,goldenmargaret@yahoo.com,"Aug 25, 2021",TX
56,zachary,PATTERSON,dawnrobertschase-lopez.com,2021-06-01,tx
57,tricia,Robertson,jennifer39@yahoocom,"Jun 17, 2021",tx
58,melissa,PATEL,torreschristopher@hotmail.com,2021-04-07,Texas
59,Steven,warren,darrellbyrd@gregorybiz,,TX
60,CYNTHIA,hall,dillon52yahoo.com,,TX
61,Rebecca,nguyen,christopherwillis@vargas.info,,06
62,KIM,Mcclain,kaiserjennifer@yahoocom,,tx
63,patrick,mccarthy,lauriemiller@moody-frye.com,"May 24, 2020",tx
64,JOCELYN,Hart,chenrhonda@crawford-cherrybiz,,tx
65,JERRY,Chavez,albert65yahoo.com,,TX
66,JENNIFER,MILLS,barbara54@brown.com,,06
67,Katelyn,christian,raven36@yahoo.com,2025-02-27,Texas
68,SARAH,WILSON,rachel32hotmail.com,2020-08-04,TX
69,micheal,ABBOTT,myerskevingmail.com,,TX
70,ROBERT,Hicks,krojasyahoo.com,"May 05, 2024",TX
71,christopher,GONZALEZ,jacobfrazieryahoo.com,"Mar 24, 2025",06
72,anna,COOK,ijenkins@yahoo.com,,Texas
73,devon,PATTERSON,fgoodwinyahoo.com,2021-03-31,TX
74,Dan,bailey,hhess@yahoocom,2020-12-31,Texas
75,pamela,MASON,carlatravis@king-andersennet,2023-05-08,Texas
76,joseph,THOMPSON,veronica43gmail.com,,TX
77,Mackenzie,Mills,josephpoolewhite.com,,06
78,JOSEPH,wall,heathercain@yahoo.com,"Feb 25, 2024",Texas
79,james,HOWE,brightjessica@rogerscom,,tx
80,joseph,parks,alexis90@dixon-armstrongcom,2022-10-18,tx
81,JESSE,WOODS,victoriadonaldsonlee-miles.org,,Texas
82,laura,Rivera,ymartin@hotmail.com,,TX
83,MARIA,anderson,rodgersclaytonlutz.com,2020-05-14,tx
84,raven,jones,adam42@villarrealcom,"Dec 16, 2024",TX
85,jessica,andrews,rcaldwellfrederick.com,"Feb 28, 2025",tx
86,TERESA,guerra,james26@wright-copeland.info,"Dec 20, 2023",06
87,SUE,jones,rogersbilly@vaughn-sanders.com,2021-03-23,Texas
88,Robin,howe,joshua67@yahoo.com,,06
89,lisa,smith,nblack@hotmail.com,"Mar 23, 2020",TX
